Year,Month,State,Health Plan Type,Avg Out-of-Pocket,Share above $25,Share above $50,Share above $100,Share above $200
2017,February,OK,All,72,0.71,0.42,0.13,0.05
2017,March,OK,All,74,0.70,0.43,0.14,0.06
2017,April,OK,All,62,0.72,0.33,0.11,0.04
2017,May,OK,All,56,0.70,0.32,0.11,0.03
2017,June,OK,All,52,0.65,0.31,0.09,0.03
2017,July,OK,All,48,0.64,0.30,0.09,0.02
2017,August,OK,All,48,0.61,0.28,0.09,0.02
2017,September,OK,All,48,0.60,0.27,0.08,0.03
2017,October,OK,All,49,0.59,0.28,0.10,0.03
2017,November,OK,All,44,0.58,0.25,0.07,0.02
2017,December,OK,All,40,0.55,0.24,0.07,0.01
2017,Annual,OK,All,306,0.64,0.32,0.10,0.03
2017,January,OR,non-cdhp,80,0.76,0.52,0.21,0.06
2017,February,OR,non-cdhp,75,0.75,0.49,0.18,0.05
2017,March,OR,non-cdhp,78,0.73,0.50,0.21,0.06
2017,April,OR,non-cdhp,57,0.62,0.33,0.15,0.04
2017,May,OR,non-cdhp,58,0.61,0.34,0.14,0.04
2017,June,OR,non-cdhp,60,0.61,0.35,0.14,0.04
2017,July,OR,non-cdhp,49,0.59,0.31,0.11,0.02
2017,August,OR,non-cdhp,52,0.58,0.33,0.11,0.04
2017,September,OR,non-cdhp,45,0.54,0.30,0.08,0.02
2017,October,OR,non-cdhp,48,0.55,0.28,0.11,0.02
2017,November,OR,non-cdhp,43,0.48,0.25,0.11,0.03
2017,December,OR,non-cdhp,42,0.48,0.26,0.09,0.02
2017,January,OR,All,102,0.73,0.53,0.25,0.10
2017,February,OR,All,88,0.72,0.49,0.21,0.08
2017,March,OR,All,94,0.71,0.50,0.24,0.09
2017,April,OR,All,70,0.62,0.36,0.17,0.06
2017,May,OR,All,70,0.60,0.36,0.17,0.06
2017,June,OR,All,67,0.61,0.38,0.17,0.06
2017,July,OR,All,58,0.58,0.34,0.14,0.04
2017,August,OR,All,54,0.56,0.33,0.12,0.05
2017,September,OR,All,52,0.52,0.31,0.11,0.04
2017,October,OR,All,56,0.54,0.30,0.14,0.04
2017,November,OR,All,46,0.48,0.26,0.13,0.04
2017,December,OR,All,42,0.47,0.27,0.11,0.02
2017,Annual,OR,All,340,0.59,0.37,0.16,0.06
2017,January,PA,non-cdhp,72,0.78,0.47,0.18,0.04
2017,February,PA,non-cdhp,67,0.77,0.45,0.15,0.03
2017,March,PA,non-cdhp,67,0.75,0.45,0.16,0.03
2017,April,PA,non-cdhp,61,0.75,0.41,0.13,0.03
2017,May,PA,non-cdhp,60,0.73,0.40,0.13,0.03
2017,June,PA,non-cdhp,56,0.72,0.39,0.12,0.02
2017,July,PA,non-cdhp,62,0.72,0.41,0.14,0.03
2017,August,PA,non-cdhp,58,0.71,0.39,0.12,0.03
2017,September,PA,non-cdhp,55,0.70,0.37,0.11,0.02
2017,October,PA,non-cdhp,55,0.68,0.37,0.11,0.02
2017,November,PA,non-cdhp,56,0.66,0.37,0.12,0.02
2017,December,PA,non-cdhp,53,0.65,0.36,0.11,0.02
2017,January,PA,cdhp,291,0.77,0.63,0.48,0.38
2017,February,PA,cdhp,220,0.75,0.58,0.42,0.34
2017,March,PA,cdhp,196,0.72,0.55,0.39,0.29
2017,April,PA,cdhp,152,0.68,0.50,0.31,0.21
2017,May,PA,cdhp,138,0.66,0.47,0.29,0.19
2017,June,PA,cdhp,114,0.63,0.44,0.26,0.15
2017,July,PA,cdhp,132,0.64,0.45,0.28,0.17
2017,August,PA,cdhp,105,0.59,0.42,0.23,0.13
2017,September,PA,cdhp,105,0.59,0.42,0.24,0.14
2017,October,PA,cdhp,97,0.56,0.37,0.20,0.11
2017,November,PA,cdhp,89,0.52,0.34,0.18,0.10
2017,December,PA,cdhp,89,0.51,0.34,0.19,0.10
2017,January,PA,All,124,0.78,0.51,0.25,0.12
2017,February,PA,All,105,0.76,0.48,0.22,0.11
2017,March,PA,All,99,0.74,0.48,0.22,0.10
2017,April,PA,All,85,0.73,0.43,0.18,0.08
2017,May,PA,All,80,0.71,0.41,0.17,0.07
2017,June,PA,All,71,0.70,0.41,0.15,0.05
2017,July,PA,All,80,0.70,0.42,0.18,0.06
2017,August,PA,All,70,0.68,0.40,0.15,0.06
2017,September,PA,All,68,0.67,0.38,0.14,0.05
2017,October,PA,All,66,0.65,0.37,0.13,0.04
2017,November,PA,All,64,0.62,0.37,0.14,0.04
2017,December,PA,All,63,0.61,0.35,0.13,0.04
2017,Annual,PA,All,423,0.70,0.42,0.17,0.07
2017,January,RI,non-cdhp,48,0.65,0.36,0.08,0.01
2017,February,RI,non-cdhp,51,0.62,0.37,0.11,0.02
2017,March,RI,non-cdhp,56,0.67,0.44,0.14,0.01
2017,April,RI,non-cdhp,35,0.53,0.19,0.05,0.00
2017,May,RI,non-cdhp,38,0.56,0.20,0.06,0.01
2017,June,RI,non-cdhp,32,0.46,0.18,0.03,0.00
2017,July,RI,non-cdhp,31,0.51,0.17,0.02,0.00
2017,August,RI,non-cdhp,38,0.49,0.24,0.05,0.01
2017,September,RI,non-cdhp,28,0.45,0.13,0.02,0.00
2017,October,RI,non-cdhp,37,0.40,0.16,0.05,0.01
2017,November,RI,non-cdhp,40,0.47,0.18,0.05,0.02
2017,December,RI,non-cdhp,38,0.47,0.21,0.03,0.01
2017,January,RI,All,84,0.66,0.39,0.13,0.05
2017,February,RI,All,77,0.63,0.39,0.14,0.06
2017,March,RI,All,73,0.66,0.45,0.16,0.05
2017,April,RI,All,52,0.53,0.22,0.08,0.04
2017,May,RI,All,54,0.55,0.22,0.09,0.04
2017,June,RI,All,40,0.49,0.20,0.04,0.01
2017,July,RI,All,45,0.54,0.21,0.04,0.02
2017,August,RI,All,44,0.49,0.25,0.07,0.01
2017,September,RI,All,40,0.49,0.18,0.05,0.02
2017,October,RI,All,40,0.43,0.18,0.06,0.02
2017,November,RI,All,46,0.49,0.20,0.06,0.03
2017,December,RI,All,41,0.48,0.22,0.04,0.02
2017,Annual,RI,All,318,0.54,0.26,0.08,0.03
2017,January,SC,non-cdhp,68,0.65,0.45,0.16,0.04
2017,February,SC,non-cdhp,68,0.67,0.41,0.12,0.04
2017,March,SC,non-cdhp,64,0.65,0.41,0.14,0.03
2017,April,SC,non-cdhp,57,0.68,0.31,0.11,0.03
2017,May,SC,non-cdhp,54,0.64,0.32,0.12,0.03
2017,June,SC,non-cdhp,51,0.63,0.29,0.09,0.02
2017,July,SC,non-cdhp,51,0.62,0.28,0.09,0.03
2017,August,SC,non-cdhp,48,0.60,0.28,0.09,0.02
2017,September,SC,non-cdhp,46,0.61,0.30,0.10,0.01
2017,October,SC,non-cdhp,45,0.57,0.28,0.10,0.02
2017,November,SC,non-cdhp,44,0.58,0.28,0.08,0.02
2017,December,SC,non-cdhp,42,0.54,0.28,0.09,0.01
2017,January,SC,cdhp,235,0.61,0.50,0.42,0.33
2017,February,SC,cdhp,183,0.59,0.48,0.34,0.27
2017,March,SC,cdhp,163,0.54,0.44,0.35,0.24
2017,April,SC,cdhp,101,0.54,0.42,0.24,0.14
2017,May,SC,cdhp,121,0.53,0.39,0.27,0.16
2017,June,SC,cdhp,106,0.46,0.32,0.20,0.13
2017,July,SC,cdhp,71,0.43,0.31,0.20,0.10
2017,August,SC,cdhp,53,0.42,0.27,0.14,0.06
2017,September,SC,cdhp,49,0.40,0.29,0.16,0.04
2017,October,SC,cdhp,44,0.37,0.22,0.12,0.04
2017,November,SC,cdhp,58,0.35,0.24,0.09,0.07
2017,December,SC,cdhp,56,0.40,0.27,0.17,0.06
2017,January,SC,All,100,0.64,0.46,0.21,0.10
2017,February,SC,All,88,0.65,0.42,0.16,0.08
2017,March,SC,All,82,0.63,0.41,0.17,0.07
2017,April,SC,All,65,0.65,0.33,0.13,0.05
2017,May,SC,All,66,0.62,0.33,0.14,0.05
2017,June,SC,All,62,0.60,0.30,0.11,0.04
2017,July,SC,All,55,0.58,0.29,0.11,0.04
2017,August,SC,All,49,0.56,0.28,0.10,0.03
2017,September,SC,All,47,0.57,0.30,0.11,0.02
2017,October,SC,All,45,0.53,0.27,0.10,0.02
2017,November,SC,All,47,0.54,0.27,0.08,0.03
2017,December,SC,All,45,0.51,0.27,0.10,0.02
2017,Annual,SC,All,315,0.59,0.33,0.13,0.05
2017,January,TN,non-cdhp,71,0.69,0.47,0.18,0.05
2017,February,TN,non-cdhp,70,0.71,0.46,0.16,0.05
2017,March,TN,non-cdhp,65,0.69,0.45,0.15,0.04
2017,April,TN,non-cdhp,57,0.68,0.35,0.12,0.03
2017,May,TN,non-cdhp,59,0.68,0.37,0.13,0.03
2017,June,TN,non-cdhp,58,0.67,0.36,0.13,0.03
2017,July,TN,non-cdhp,51,0.63,0.33,0.11,0.02
2017,August,TN,non-cdhp,50,0.62,0.32,0.11,0.02
2017,September,TN,non-cdhp,50,0.61,0.31,0.11,0.02
2017,October,TN,non-cdhp,48,0.59,0.31,0.11,0.02
2017,November,TN,non-cdhp,47,0.59,0.30,0.10,0.02
2017,December,TN,non-cdhp,48,0.57,0.30,0.10,0.03
2017,January,TN,cdhp,262,0.65,0.57,0.43,0.36
2017,February,TN,cdhp,261,0.67,0.55,0.43,0.35
2017,March,TN,cdhp,165,0.60,0.51,0.34,0.25
2017,April,TN,cdhp,134,0.61,0.45,0.32,0.22
2017,May,TN,cdhp,120,0.56,0.45,0.30,0.19
2017,June,TN,cdhp,83,0.52,0.40,0.25,0.13
2017,July,TN,cdhp,72,0.50,0.35,0.20,0.11
2017,August,TN,cdhp,66,0.43,0.32,0.21,0.09
2017,September,TN,cdhp,71,0.44,0.31,0.17,0.08
2017,October,TN,cdhp,56,0.40,0.28,0.15,0.09
2017,November,TN,cdhp,54,0.42,0.31,0.17,0.06
2017,December,TN,cdhp,44,0.33,0.24,0.12,0.05
2017,January,TN,All,100,0.69,0.48,0.22,0.10
2017,February,TN,All,99,0.70,0.47,0.20,0.09
2017,March,TN,All,81,0.68,0.46,0.18,0.07
2017,April,TN,All,70,0.67,0.36,0.15,0.06
2017,May,TN,All,70,0.66,0.38,0.16,0.06
2017,June,TN,All,63,0.64,0.37,0.15,0.05
2017,July,TN,All,55,0.61,0.33,0.13,0.04
2017,August,TN,All,53,0.59,0.32,0.13,0.04
2017,September,TN,All,53,0.58,0.31,0.12,0.03
2017,October,TN,All,50,0.56,0.30,0.12,0.03
2017,November,TN,All,48,0.56,0.30,0.11,0.03
2017,December,TN,All,47,0.52,0.29,0.10,0.03
2017,Annual,TN,All,342,0.62,0.36,0.15,0.05
2017,January,TX,non-cdhp,69,0.76,0.46,0.18,0.04
2017,February,TX,non-cdhp,66,0.74,0.43,0.15,0.04
2017,March,TX,non-cdhp,64,0.72,0.43,0.16,0.03
2017,April,TX,non-cdhp,57,0.71,0.38,0.12,0.03
2017,May,TX,non-cdhp,57,0.69,0.38,0.13,0.03
2017,June,TX,non-cdhp,54,0.67,0.35,0.12,0.02
2017,July,TX,non-cdhp,52,0.66,0.34,0.11,0.02
2017,August,TX,non-cdhp,51,0.64,0.34,0.11,0.02
2017,September,TX,non-cdhp,50,0.63,0.33,0.11,0.02
2017,October,TX,non-cdhp,49,0.61,0.32,0.11,0.02
2017,November,TX,non-cdhp,47,0.59,0.30,0.10,0.02
2017,December,TX,non-cdhp,46,0.57,0.30,0.11,0.02
2017,January,TX,cdhp,216,0.68,0.55,0.41,0.31
2017,February,TX,cdhp,194,0.66,0.54,0.39,0.29
2017,March,TX,cdhp,167,0.65,0.52,0.38,0.26
2017,April,TX,cdhp,138,0.62,0.46,0.30,0.20
2017,May,TX,cdhp,118,0.61,0.46,0.30,0.18
2017,June,TX,cdhp,102,0.55,0.41,0.26,0.15
2017,July,TX,cdhp,92,0.54,0.40,0.23,0.12
2017,August,TX,cdhp,78,0.51,0.37,0.21,0.11
2017,September,TX,cdhp,76,0.48,0.35,0.18,0.09
2017,October,TX,cdhp,63,0.45,0.31,0.17,0.09
2017,November,TX,cdhp,62,0.43,0.30,0.18,0.08
2017,December,TX,cdhp,52,0.39,0.27,0.16,0.07
2017,January,TX,All,89,0.75,0.48,0.21,0.08
2017,February,TX,All,84,0.73,0.44,0.19,0.07
2017,March,TX,All,79,0.71,0.45,0.19,0.07
2017,April,TX,All,69,0.69,0.39,0.15,0.05
2017,May,TX,All,66,0.68,0.39,0.15,0.05
2017,June,TX,All,61,0.65,0.36,0.14,0.04
2017,July,TX,All,58,0.64,0.35,0.13,0.04
2017,August,TX,All,55,0.62,0.34,0.13,0.03
2017,September,TX,All,54,0.61,0.33,0.12,0.03
2017,October,TX,All,52,0.58,0.32,0.12,0.03
2017,November,TX,All,49,0.56,0.30,0.12,0.03
2017,December,TX,All,47,0.54,0.29,0.11,0.03
2017,Annual,TX,All,325,0.65,0.37,0.15,0.05
2017,January,UT,non-cdhp,87,0.73,0.47,0.21,0.08
2017,February,UT,non-cdhp,84,0.68,0.44,0.19,0.07
2017,March,UT,non-cdhp,75,0.71,0.45,0.20,0.08
2017,April,UT,non-cdhp,55,0.64,0.31,0.10,0.04
2017,May,UT,non-cdhp,52,0.61,0.30,0.12,0.03
2017,June,UT,non-cdhp,54,0.64,0.31,0.12,0.05
2017,July,UT,non-cdhp,46,0.58,0.28,0.09,0.03
2017,August,UT,non-cdhp,47,0.56,0.28,0.10,0.02
2017,September,UT,non-cdhp,47,0.56,0.27,0.09,0.03
2017,October,UT,non-cdhp,47,0.54,0.29,0.09,0.03
2017,November,UT,non-cdhp,43,0.52,0.25,0.09,0.02
2017,December,UT,non-cdhp,40,0.50,0.25,0.08,0.02
2017,January,UT,cdhp,291,0.72,0.64,0.50,0.39
2017,February,UT,cdhp,330,0.78,0.70,0.52,0.41
2017,March,UT,cdhp,224,0.68,0.58,0.45,0.31
2017,April,UT,cdhp,173,0.65,0.52,0.40,0.27
2017,May,UT,cdhp,159,0.64,0.52,0.37,0.26
2017,June,UT,cdhp,112,0.61,0.47,0.31,0.17
2017,July,UT,cdhp,111,0.56,0.44,0.29,0.17
2017,August,UT,cdhp,110,0.51,0.40,0.27,0.16
2017,September,UT,cdhp,87,0.49,0.37,0.24,0.15
2017,October,UT,cdhp,82,0.46,0.34,0.22,0.12
2017,November,UT,cdhp,66,0.42,0.28,0.20,0.09
2017,December,UT,cdhp,67,0.38,0.28,0.18,0.09
2017,January,UT,All,158,0.72,0.53,0.31,0.19
2017,February,UT,All,171,0.72,0.53,0.31,0.19
2017,March,UT,All,129,0.70,0.50,0.29,0.16
2017,April,UT,All,99,0.65,0.39,0.21,0.13
2017,May,UT,All,92,0.62,0.38,0.21,0.12
2017,June,UT,All,77,0.63,0.37,0.20,0.09
2017,July,UT,All,72,0.57,0.34,0.17,0.09
2017,August,UT,All,73,0.54,0.33,0.17,0.08
2017,September,UT,All,63,0.53,0.31,0.15,0.07
2017,October,UT,All,61,0.51,0.31,0.14,0.07
2017,November,UT,All,52,0.48,0.26,0.13,0.05
2017,December,UT,All,51,0.45,0.26,0.12,0.05
2017,Annual,UT,All,477,0.59,0.37,0.20,0.11
2017,January,VA,non-cdhp,75,0.78,0.50,0.19,0.05
2017,February,VA,non-cdhp,66,0.76,0.45,0.17,0.03
2017,March,VA,non-cdhp,72,0.77,0.47,0.18,0.04
2017,April,VA,non-cdhp,64,0.73,0.40,0.13,0.03
2017,May,VA,non-cdhp,62,0.71,0.39,0.13,0.03
2017,June,VA,non-cdhp,57,0.71,0.37,0.11,0.03
2017,July,VA,non-cdhp,57,0.70,0.38,0.12,0.02
2017,August,VA,non-cdhp,57,0.67,0.37,0.11,0.02
2017,September,VA,non-cdhp,56,0.66,0.34,0.13,0.02
2017,October,VA,non-cdhp,57,0.64,0.35,0.11,0.03
2017,November,VA,non-cdhp,58,0.65,0.33,0.10,0.03
2017,December,VA,non-cdhp,54,0.63,0.33,0.10,0.02
2017,January,VA,cdhp,266,0.62,0.54,0.45,0.37
2017,February,VA,cdhp,267,0.68,0.59,0.49,0.38
2017,March,VA,cdhp,199,0.65,0.52,0.38,0.27
2017,April,VA,cdhp,142,0.59,0.43,0.28,0.19
2017,May,VA,cdhp,133,0.55,0.43,0.29,0.19
2017,June,VA,cdhp,124,0.55,0.41,0.28,0.17
2017,July,VA,cdhp,110,0.54,0.39,0.25,0.13
2017,August,VA,cdhp,98,0.51,0.36,0.23,0.14
2017,September,VA,cdhp,93,0.51,0.38,0.22,0.11
2017,October,VA,cdhp,95,0.49,0.34,0.23,0.11
2017,November,VA,cdhp,72,0.46,0.31,0.18,0.10
2017,December,VA,cdhp,94,0.46,0.31,0.20,0.13
2017,January,VA,All,109,0.75,0.51,0.24,0.11
2017,February,VA,All,104,0.74,0.48,0.23,0.10
2017,March,VA,All,96,0.74,0.48,0.22,0.08
2017,April,VA,All,79,0.71,0.40,0.16,0.06
2017,May,VA,All,76,0.68,0.40,0.16,0.06
2017,June,VA,All,70,0.68,0.38,0.14,0.05
2017,July,VA,All,68,0.67,0.38,0.15,0.04
2017,August,VA,All,65,0.63,0.37,0.14,0.05
2017,September,VA,All,64,0.63,0.35,0.14,0.04
2017,October,VA,All,65,0.61,0.35,0.14,0.04
2017,November,VA,All,61,0.61,0.33,0.12,0.04
2017,December,VA,All,63,0.59,0.32,0.12,0.04
2017,Annual,VA,All,381,0.67,0.39,0.16,0.06
2017,January,WA,non-cdhp,67,0.74,0.45,0.16,0.04
2017,February,WA,non-cdhp,63,0.72,0.43,0.13,0.03
2017,March,WA,non-cdhp,64,0.73,0.44,0.16,0.03
2017,April,WA,non-cdhp,51,0.65,0.32,0.10,0.02
2017,May,WA,non-cdhp,51,0.67,0.34,0.09,0.02
2017,June,WA,non-cdhp,53,0.65,0.33,0.10,0.03
2017,July,WA,non-cdhp,48,0.63,0.31,0.09,0.02
2017,August,WA,non-cdhp,46,0.60,0.29,0.08,0.02
2017,September,WA,non-cdhp,44,0.58,0.27,0.08,0.02
2017,October,WA,non-cdhp,43,0.57,0.28,0.07,0.01
2017,November,WA,non-cdhp,43,0.55,0.27,0.08,0.01
2017,December,WA,non-cdhp,39,0.52,0.24,0.07,0.01
2017,January,WA,cdhp,227,0.73,0.57,0.36,0.24
2017,February,WA,cdhp,222,0.71,0.56,0.37,0.27
2017,March,WA,cdhp,153,0.70,0.49,0.32,0.21
2017,April,WA,cdhp,106,0.65,0.40,0.23,0.13
2017,May,WA,cdhp,105,0.60,0.41,0.24,0.13
2017,June,WA,cdhp,83,0.55,0.35,0.23,0.11
2017,July,WA,cdhp,75,0.52,0.35,0.20,0.11
2017,August,WA,cdhp,76,0.50,0.33,0.19,0.09
2017,September,WA,cdhp,59,0.44,0.28,0.16,0.08
2017,October,WA,cdhp,72,0.47,0.30,0.17,0.09
2017,November,WA,cdhp,71,0.45,0.32,0.17,0.07
2017,December,WA,cdhp,55,0.41,0.30,0.15,0.07
2017,January,WA,All,98,0.74,0.48,0.20,0.08
2017,February,WA,All,96,0.72,0.46,0.18,0.08
2017,March,WA,All,83,0.72,0.45,0.20,0.07
2017,April,WA,All,63,0.65,0.34,0.13,0.04
2017,May,WA,All,64,0.66,0.35,0.12,0.05
2017,June,WA,All,60,0.63,0.33,0.13,0.05
2017,July,WA,All,55,0.60,0.32,0.12,0.04
2017,August,WA,All,53,0.58,0.30,0.10,0.03
2017,September,WA,All,48,0.55,0.27,0.10,0.03
2017,October,WA,All,49,0.55,0.29,0.09,0.03
2017,November,WA,All,49,0.53,0.28,0.10,0.03
2017,December,WA,All,43,0.49,0.26,0.09,0.02
2017,Annual,WA,All,342,0.62,0.34,0.13,0.05
2017,January,WI,non-cdhp,114,0.72,0.52,0.28,0.14
2017,February,WI,non-cdhp,100,0.70,0.49,0.24,0.11
2017,March,WI,non-cdhp,100,0.68,0.49,0.24,0.10
2017,April,WI,non-cdhp,72,0.63,0.33,0.16,0.07
2017,May,WI,non-cdhp,75,0.64,0.36,0.17,0.07
2017,June,WI,non-cdhp,64,0.60,0.34,0.15,0.05
2017,July,WI,non-cdhp,66,0.58,0.32,0.15,0.06
2017,August,WI,non-cdhp,58,0.57,0.32,0.14,0.05
2017,September,WI,non-cdhp,56,0.54,0.29,0.12,0.04
2017,October,WI,non-cdhp,54,0.56,0.30,0.13,0.04
2017,November,WI,non-cdhp,50,0.52,0.28,0.12,0.03
2017,December,WI,non-cdhp,49,0.50,0.29,0.12,0.03
2017,January,WI,cdhp,354,0.78,0.70,0.56,0.47
2017,February,WI,cdhp,298,0.76,0.66,0.52,0.42
2017,March,WI,cdhp,252,0.72,0.62,0.47,0.37
2017,April,WI,cdhp,168,0.63,0.45,0.32,0.24
2017,May,WI,cdhp,139,0.59,0.41,0.28,0.20
2017,June,WI,cdhp,98,0.56,0.37,0.23,0.14
2017,July,WI,cdhp,85,0.50,0.31,0.20,0.12
2017,August,WI,cdhp,75,0.47,0.29,0.18,0.09
2017,September,WI,cdhp,66,0.46,0.28,0.16,0.08
2017,October,WI,cdhp,62,0.43,0.26,0.15,0.08
2017,November,WI,cdhp,55,0.42,0.24,0.14,0.06
2017,December,WI,cdhp,51,0.37,0.22,0.11,0.06
2017,January,WI,All,184,0.74,0.57,0.36,0.24
2017,February,WI,All,160,0.72,0.54,0.32,0.20
2017,March,WI,All,148,0.69,0.53,0.31,0.18
2017,April,WI,All,101,0.63,0.37,0.21,0.12
2017,May,WI,All,95,0.62,0.37,0.20,0.11
2017,June,WI,All,75,0.59,0.35,0.17,0.08
2017,July,WI,All,72,0.56,0.32,0.17,0.08
2017,August,WI,All,64,0.54,0.31,0.15,0.06
2017,September,WI,All,59,0.51,0.29,0.13,0.05
2017,October,WI,All,57,0.52,0.29,0.14,0.05
2017,November,WI,All,52,0.49,0.27,0.12,0.04
2017,December,WI,All,49,0.46,0.26,0.11,0.04
2017,Annual,WI,All,522,0.59,0.37,0.20,0.10
2017,January,WV,non-cdhp,98,0.79,0.48,0.23,0.11
2017,February,WV,non-cdhp,73,0.73,0.43,0.18,0.06
2017,March,WV,non-cdhp,84,0.73,0.46,0.20,0.08
2017,April,WV,non-cdhp,67,0.72,0.37,0.12,0.06
2017,May,WV,non-cdhp,60,0.65,0.32,0.11,0.04
2017,June,WV,non-cdhp,59,0.64,0.34,0.11,0.05
2017,July,WV,non-cdhp,75,0.63,0.31,0.12,0.05
2017,August,WV,non-cdhp,68,0.65,0.36,0.11,0.04
2017,September,WV,non-cdhp,57,0.57,0.27,0.12,0.04
2017,October,WV,non-cdhp,55,0.59,0.27,0.10,0.04
2017,November,WV,non-cdhp,43,0.52,0.26,0.10,0.04
2017,December,WV,non-cdhp,41,0.53,0.26,0.10,0.01
2017,January,WV,All,135,0.74,0.48,0.26,0.15
2017,February,WV,All,102,0.69,0.43,0.22,0.10
2017,March,WV,All,99,0.68,0.45,0.22,0.12
2017,April,WV,All,83,0.68,0.37,0.16,0.08
2017,May,WV,All,77,0.61,0.34,0.16,0.07
2017,June,WV,All,68,0.61,0.35,0.16,0.07
2017,July,WV,All,86,0.59,0.33,0.16,0.08
2017,August,WV,All,77,0.61,0.36,0.14,0.07
2017,September,WV,All,60,0.52,0.28,0.14,0.05
2017,October,WV,All,71,0.55,0.29,0.14,0.06
2017,November,WV,All,54,0.51,0.28,0.13,0.06
2017,December,WV,All,56,0.51,0.29,0.14,0.05
2017,Annual,WV,All,427,0.61,0.35,0.17,0.08
